"Questionnaire","Organization Number","Organization Name","City","Country","CDP Region","Access","Number of times reporting","C40 City","GCoM City","Primary protocol/framework used to compile main inventory","Gases included in main inventory","Emissions Question Number","Emissions Question Name","Emissions Column Number","Emissions Column Name","Emissions Row Number","Emissions Row Name","Emissions Response Answer","Emissions Notation Key","Emissions Description","Emissions Estimated","Emissions Data Group","Emissions Rank","Year covered by main inventory","Boundary of main inventory relative to jurisdiction boundary","Population in year covered by main inventory","Tool used to compile main inventory","City Location","Last update"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","1","Direct emissions (metric tonnes CO2e)^","19","IPPU > Industrial process","248,000",,"1901 IPPU > Industrial process - Direct","1","SubSector","6","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","1","Direct emissions (metric tonnes CO2e)^","29","Generation of grid-supplied energy > Local renewable generation","536,000",,"2901 Generation of grid-supplied energy > Local renewable generation - Direct","1","GridSubSector","3","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","5","Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e)","2","Stationary energy > Commercial buildings & facilities^","0","IE","0205 Stationary energy > Commercial buildings & facilities^ - Outside Boundary","1","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","5","Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e)","3","Stationary energy > Institutional buildings & facilities^","0","IE","0305 Stationary energy > Institutional buildings & facilities^ - Outside Boundary","1","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","5","Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e)","9","Transportation > Rail^","0",,"0905 Transportation > Rail^ - Outside Boundary","0","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","5","Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e)","10","Transportation > Waterborne navigation^","0",,"1005 Transportation > Waterborne navigation^ - Outside Boundary","0","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","1","Direct emissions (metric tonnes CO2e)^","26","Generation of grid-supplied energy > Electricity-only generation^","4,300,000","NO","2601 Generation of grid-supplied energy > Electricity-only generation^ - Direct","1","GridSubSector","1","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","3","Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^","6","Stationary energy > Fugitive emissions^","0","IE","0603 Stationary energy > Fugitive emissions^ - Indirect","1","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","5","Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e)","22","AFOLU > Livestock","0",,"2205 AFOLU > Livestock - Outside Boundary","0","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","3","Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^","11","Transportation > Aviation^","0","NE","1103 Transportation > Aviation^ - Indirect","0","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","1","Direct emissions (metric tonnes CO2e)^","30","Total generation of grid-supplied energy","5,534,119",,"3001 Total generation of grid-supplied energy - Direct","1","GridSectorTotal","1","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","1","Direct emissions (metric tonnes CO2e)^","7","Total Stationary Energy","3,568,000",,"0701 Total Stationary Energy - Direct","1","SectorTotal","3","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","5","Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e)","11","Transportation > Aviation^","0",,"1105 Transportation > Aviation^ - Outside Boundary","0","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","5","Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e)","27","Generation of grid-supplied energy > CHP generation^","0",,"2705 Generation of grid-supplied energy > CHP generation^ - Outside Boundary","0","GridSubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","1","Direct emissions (metric tonnes CO2e)^","24","AFOLU > Other AFOLU","0","NO","2401 AFOLU > Other AFOLU - Direct","1","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","1","Direct emissions (metric tonnes CO2e)^","22","AFOLU > Livestock","0","NO","2201 AFOLU > Livestock - Direct","1","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","3","Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^","10","Transportation > Waterborne navigation^","0","NO","1003 Transportation > Waterborne navigation^ - Indirect","1","SubSector","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
"Cities 2023","31153","City-State of Berlin","Berlin","Germany","Europe","public","12","true","true","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)","CH4; CO2; N2O","2.1c","Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.","1","Direct emissions (metric tonnes CO2e)^","18","Total Waste","0","IE","1801 Total Waste - Direct","1","SectorTotal","0","2019","Same - covers entire jurisdiction and nothing else","3,669,491","CIRIS","POINT (13.405 52.52)","2024 Apr 03 07:35:58 PM"
