city,country,year,emissions_tco2e,sector,category_path,scope,scope_category,gas_type,population,emissions_group,emissions_metric,emissions_question,emissions_per_capita
Berlin,Germany,2019,0,AFOLU,AFOLU > Land use,Scope 1,Scope 1,CH4; CO2; N2O,3669491,SubSector,Direct emissions (metric tonnes CO2e)^,Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,0,AFOLU,AFOLU > Land use,Scope 3,Scope 3,CH4; CO2; N2O,3669491,SubSector,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,0,AFOLU,AFOLU > Livestock,Scope 3,Scope 3,CH4; CO2; N2O,3669491,SubSector,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,0,AFOLU,AFOLU > Livestock,Scope 1,Scope 1,CH4; CO2; N2O,3669491,SubSector,Direct emissions (metric tonnes CO2e)^,Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,0,AFOLU,AFOLU > Other AFOLU,Scope 1,Scope 1,CH4; CO2; N2O,3669491,SubSector,Direct emissions (metric tonnes CO2e)^,Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,0,AFOLU,AFOLU > Other AFOLU,Scope 3,Scope 3,CH4; CO2; N2O,3669491,SubSector,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,0,Generation of grid-supplied energy,Generation of grid-supplied energy > CHP generation,Scope 3,Scope 3,CH4; CO2; N2O,3669491,GridSubSector,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,40831,Generation of grid-supplied energy,Generation of grid-supplied energy > CHP generation,Scope 1,Scope 1,CH4; CO2; N2O,3669491,GridSubSector,Direct emissions (metric tonnes CO2e)^,Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.011127156327675964
Berlin,Germany,2019,4300000,Generation of grid-supplied energy,Generation of grid-supplied energy > Electricity-only generation,Scope 1,Scope 1,CH4; CO2; N2O,3669491,GridSubSector,Direct emissions (metric tonnes CO2e)^,Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,1.1718246481596495
Berlin,Germany,2019,0,Generation of grid-supplied energy,Generation of grid-supplied energy > Electricity-only generation,Scope 3,Scope 3,CH4; CO2; N2O,3669491,GridSubSector,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,2505000,Generation of grid-supplied energy,Generation of grid-supplied energy > Heat/cold generation,Scope 1,Scope 1,CH4; CO2; N2O,3669491,GridSubSector,Direct emissions (metric tonnes CO2e)^,Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.6826559868930051
Berlin,Germany,2019,0,Generation of grid-supplied energy,Generation of grid-supplied energy > Heat/cold generation,Scope 3,Scope 3,CH4; CO2; N2O,3669491,GridSubSector,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,536000,Generation of grid-supplied energy,Generation of grid-supplied energy > Local renewable generation,Scope 1,Scope 1,CH4; CO2; N2O,3669491,GridSubSector,Direct emissions (metric tonnes CO2e)^,Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.14606930497990048
Berlin,Germany,2019,0,Generation of grid-supplied energy,Generation of grid-supplied energy > Local renewable generation,Scope 3,Scope 3,CH4; CO2; N2O,3669491,GridSubSector,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.0
Berlin,Germany,2019,248000,IPPU,IPPU > Industrial process,Scope 1,Scope 1,CH4; CO2; N2O,3669491,SubSector,Direct emissions (metric tonnes CO2e)^,Provide a breakdown of your community-wide emissions in the format of the Common Reporting Framework.,0.06758430528920768
